City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.59,81,78,8.57,PN,1732659235
1,silver city,32.7701,-108.2803,18.15,33,0,10.29,US,1732659236
2,colchani,-20.3,-66.9333,20.05,24,84,3.16,BO,1732659237
3,port-aux-francais,-49.35,70.2167,3.3,73,79,14.18,TF,1732659238
4,arauco,-37.2463,-73.3175,15.68,56,10,4.17,CL,1732658965
5,flying fish cove,-10.4217,105.6791,27.77,77,57,0.93,CX,1732659241
6,nantucket,41.2835,-70.0995,13.06,88,100,5.66,US,1732659242
7,codrington,-38.2667,141.9667,20.72,84,83,7.06,AU,1732659243
8,tyukhtet,56.5389,89.3011,-5.62,79,50,4.16,RU,1732659244
9,kristinestad,62.2743,21.376,5.54,93,100,3.28,FI,1732659245
10,guatire,10.4762,-66.5427,24.42,93,59,1.18,VE,1732659106
11,bilibino,68.0546,166.4372,-31.55,94,7,1.85,RU,1732659248
12,waitangi,-43.9535,-176.5597,14.34,81,100,4.47,NZ,1732659249
13,edinburgh of the seven seas,-37.0676,-12.3116,16.65,97,100,9.78,SH,1732659250
14,padang,-0.9492,100.3543,24.03,93,100,4.1,ID,1732659251
15,ushuaia,-54.8,-68.3,10.81,54,0,9.77,AR,1732659252
16,norfolk,42.1668,-71.2495,4.3,94,75,2.57,US,1732659253
17,acapulco de juarez,16.8634,-99.8901,28.9,65,0,5.14,MX,1732659215
18,akjoujt,19.6969,-14.4164,26.04,11,12,3.84,MR,1732659256
19,wuyang,31.9925,116.2472,5.52,56,1,6.24,CN,1732659257
20,merizo village,13.2658,144.6691,28.88,81,61,9.21,GU,1732659258
21,wailua homesteads,22.0669,-159.378,27.29,70,0,5.14,US,1732659259
22,college,64.8569,-147.8028,-11.97,74,75,0.0,US,1732659261
23,luderitz,-26.6481,15.1594,15.03,69,36,9.8,NA,1732659263
24,gongzhuling,43.5008,124.8198,-10.23,73,100,6.73,CN,1732659264
25,neftegorsk,52.802,51.166,-1.45,64,64,2.72,RU,1732659265
26,quthing,-30.4,27.7003,17.58,76,98,2.1,LS,1732659266
27,badger,64.8,-147.5333,-12.02,87,75,0.0,US,1732659268
28,port mathurin,-19.6833,63.4167,24.51,78,77,9.74,MU,1732659269
29,weno,7.4515,151.8468,28.97,84,100,3.09,FM,1732659270
30,rong kwang,18.339,100.3174,24.13,84,100,1.39,TH,1732659271
31,fortuna,40.5982,-124.1573,13.85,73,0,1.54,US,1732659272
32,thompson,55.7435,-97.8558,-7.91,86,100,1.03,CA,1732659273
33,padangsidempuan,1.3667,99.2667,22.0,99,100,1.55,ID,1732659275
34,bredasdorp,-34.5322,20.0403,15.63,68,83,6.88,ZA,1732659236
35,ribeira grande,38.5167,-28.7,18.76,91,100,9.39,PT,1732659277
36,albany,42.6001,-73.9662,6.62,70,92,5.18,US,1732659000
37,puerto natales,-51.7236,-72.4875,18.25,32,0,6.69,CL,1732659279
